variable,unit,nilai,jumlah,proporsi
voltage_v,V,241.6,1540,0.000759548611111111
voltage_v,V,241.7,1452,0.000716145833333333
voltage_v,V,241.8,1342,0.000661892361111111
voltage_v,V,241.9,1342,0.000661892361111111
voltage_v,V,242,1056,0.000520833333333333
voltage_v,V,242.1,1122,0.000553385416666667
voltage_v,V,242.2,1166,0.000575086805555556
voltage_v,V,242.3,1232,0.000607638888888889
voltage_v,V,242.4,1166,0.000575086805555556
voltage_v,V,242.5,1056,0.000520833333333333
voltage_v,V,242.6,1078,0.000531684027777778
voltage_v,V,242.7,924,0.000455729166666667
voltage_v,V,242.8,1034,0.000509982638888889
voltage_v,V,242.9,902,0.000444878472222222
voltage_v,V,243,704,0.000347222222222222
voltage_v,V,243.1,858,0.000423177083333333
voltage_v,V,243.2,748,0.000368923611111111
voltage_v,V,243.3,880,0.000434027777777778
voltage_v,V,243.4,572,0.000282118055555556
voltage_v,V,243.5,682,0.000336371527777778
voltage_v,V,243.6,660,0.000325520833333333
voltage_v,V,243.7,440,0.000217013888888889
voltage_v,V,243.8,594,0.00029296875
voltage_v,V,243.9,462,0.000227864583333333
voltage_v,V,244,506,0.000249565972222222
voltage_v,V,244.1,484,0.000238715277777778
voltage_v,V,244.2,220,0.000108506944444444
voltage_v,V,244.3,352,0.000173611111111111
voltage_v,V,244.4,440,0.000217013888888889
voltage_v,V,244.5,308,0.000151909722222222
voltage_v,V,244.6,440,0.000217013888888889
voltage_v,V,244.7,352,0.000173611111111111
voltage_v,V,244.8,198,9.765625e-05
voltage_v,V,244.9,330,0.000162760416666667
voltage_v,V,245,198,9.765625e-05
voltage_v,V,245.1,330,0.000162760416666667
voltage_v,V,245.2,352,0.000173611111111111
voltage_v,V,245.3,330,0.000162760416666667
voltage_v,V,245.4,110,5.42534722222222e-05
voltage_v,V,245.5,110,5.42534722222222e-05
voltage_v,V,245.6,176,8.68055555555556e-05
voltage_v,V,245.7,220,0.000108506944444444
voltage_v,V,245.8,352,0.000173611111111111
voltage_v,V,245.9,176,8.68055555555556e-05
voltage_v,V,246,242,0.000119357638888889
voltage_v,V,246.1,198,9.765625e-05
voltage_v,V,246.2,220,0.000108506944444444
voltage_v,V,246.3,154,7.59548611111111e-05
voltage_v,V,246.4,176,8.68055555555556e-05
voltage_v,V,246.5,132,6.51041666666667e-05
voltage_v,V,246.6,242,0.000119357638888889
voltage_v,V,246.7,176,8.68055555555556e-05
voltage_v,V,246.8,242,0.000119357638888889
voltage_v,V,246.9,132,6.51041666666667e-05
voltage_v,V,247,88,4.34027777777778e-05
